"Vehicle Body Type","Crash Date (Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,"2014",,,"2015",,,"2016",,,"2017",,,"2018",,,"Total",,
,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,,"Involving An Older Driver (Aged 65+)",,

,"Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total","Yes","No","Total"
"Passenger Car",5546,20136,25682,5362,19807,25169,5040,19220,24260,4905,17951,22856,4483,15991,20474,4265,14148,18413,4353,13451,17804,4226,13282,17508,4260,14009,18269,4420,13537,17957,4376,13519,17895,4671,15139,19810,5148,15929,21077,5087,16186,21273,5057,15276,20333,71199,237581,308780
"Light Truck - Pickup",2042,8812,10854,2027,8957,10984,1919,8663,10582,1875,8432,10307,1723,7346,9069,1662,6819,8481,1704,6547,8251,1661,6129,7790,1728,6273,8001,1767,6099,7866,1823,6101,7924,2131,6645,8776,2197,6518,8715,2228,6479,8707,2295,6357,8652,28782,106177,134959

"Light Truck - Utility",1176,6658,7834,1257,6918,8175,1289,7027,8316,1311,6906,8217,1189,6127,7316,1269,5674,6943,1234,5563,6797,1291,5496,6787,1425,5693,7118,1491,5343,6834,1540,5475,7015,1781,5951,7732,2079,6491,8570,2243,6720,8963,2316,6611,8927,22891,92653,115544
"Light Truck - Van",899,2788,3687,878,2847,3725,863,2564,3427,796,2434,3230,732,2029,2761,674,1827,2501,695,1725,2420,630,1557,2187,653,1520,2173,636,1494,2130,609,1503,2112,679,1511,2190,665,1740,2405,695,1523,2218,624,1457,2081,10728,28519,39247
"Light Truck - Other",20,91,111,12,68,80,21,65,86,10,46,56,3,30,33,7,26,33,6,17,23,8,34,42,13,45,58,19,79,98,17,92,109,31,140,171,52,178,230,29,98,127,23,92,115,271,1101,1372
"Large Truck",933,3969,4902,916,4035,4951,888,3878,4766,932,3701,4633,809,3280,4089,718,2493,3211,763,2731,3494,767,2866,3633,802,3023,3825,940,2981,3921,842,2907,3749,951,3124,4075,1020,3542,4562,1140,3664,4804,1155,3707,4862,13576,49901,63477

"Motorcycle",348,3773,4121,456,4226,4682,526,4437,4963,526,4780,5306,612,4797,5409,524,4079,4603,588,4063,4651,613,4156,4769,736,4377,5113,793,4007,4800,703,4002,4705,831,4300,5131,977,4490,5467,947,4438,5385,936,4179,5115,10116,64104,74220
"Bus",57,222,279,60,220,280,58,247,305,50,231,281,57,194,251,48,173,221,63,188,251,47,198,245,61,192,253,68,214,282,65,171,236,65,198,263,57,177,234,65,169,234,55,179,234,876,2973,3849
"Other/Unknown",131,1128,1259,148,1301,1449,139,1250,1389,144,1223,1367,130,1128,1258,121,1013,1134,145,1026,1171,134,1024,1158,113,1037,1150,123,1090,1213,132,1073,1205,157,1173,1330,174,1280,1454,167,1250,1417,189,1364,1553,2147,17360,19507
"Total",11152,47577,58729,11116,48379,59495,10743,47351,58094,10549,45704,56253,9738,40922,50660,9288,36252,45540,9551,35311,44862,9377,34742,44119,9791,36169,45960,10257,34844,45101,10107,34843,44950,11297,38181,49478,12369,40345,52714,12601,40527,53128,12650,39222,51872,160586,600369,760955


